line_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,10001,63,2,31766.41,0,63532.82
2,10001,25,4,45604.67,15,155055.88
3,10002,10,4,3211.83,0,12847.32
4,10002,2,1,24026.09,20,19220.87
5,10003,78,4,41712.31,0,166849.24
6,10004,33,3,67411.45,15,171899.2
7,10005,5,4,45012.76,10,162045.94
8,10005,30,3,73356.11,15,187058.08
9,10006,65,2,18289.66,0,36579.32
10,10006,80,2,11717.49,0,23434.98
11,10006,30,3,73356.11,0,220068.33
12,10006,5,1,45012.76,10,40511.48
13,10006,9,4,21513.5,5,81751.3
14,10007,65,3,18289.66,10,49382.08
15,10007,9,4,21513.5,0,86054.0
16,10007,23,3,74783.92,0,224351.76
17,10007,33,3,67411.45,0,202234.35
18,10008,55,1,1301.86,20,1041.49
19,10008,69,2,56948.59,20,91117.74
20,10008,69,3,56948.59,15,145218.9
21,10009,61,2,4343.03,5,8251.76
22,10010,14,1,59762.99,15,50798.54
23,10010,84,3,10882.39,0,32647.17
24,10010,83,1,47524.82,0,47524.82
25,10010,69,4,56948.59,10,205014.92
26,10010,66,3,34576.24,20,82982.98
27,10011,50,4,78187.47,10,281474.89
28,10011,68,2,5926.86,20,9482.98
29,10011,77,1,58001.27,0,58001.27
30,10011,41,4,41974.61,10,151108.6
31,10011,18,4,20961.85,0,83847.4
32,10012,58,2,45357.34,0,90714.68
33,10012,49,2,6660.76,0,13321.52
34,10012,12,4,69564.43,15,236519.06
35,10013,23,3,74783.92,0,224351.76
36,10013,27,2,77322.34,10,139180.21
37,10013,58,2,45357.34,10,81643.21
38,10014,31,1,41939.36,0,41939.36
39,10014,15,4,48371.9,0,193487.6
40,10015,21,2,29687.86,0,59375.72
41,10015,67,1,6901.24,15,5866.05
42,10015,74,2,7215.03,0,14430.06
43,10015,19,1,7933.73,0,7933.73
44,10016,2,2,24026.09,0,48052.18
45,10017,1,1,25532.82,0,25532.82
46,10017,67,4,6901.24,5,26224.71
47,10018,49,1,6660.76,0,6660.76
48,10018,4,4,68610.42,15,233275.43
49,10018,50,1,78187.47,0,78187.47
50,10018,71,1,75439.67,20,60351.74
51,10019,25,3,45604.67,5,129973.31
52,10019,12,3,69564.43,0,208693.29
53,10019,31,3,41939.36,0,125818.08
54,10020,83,1,47524.82,10,42772.34
55,10020,66,1,34576.24,20,27660.99
56,10021,36,4,52759.78,20,168831.3
57,10021,71,2,75439.67,0,150879.34
58,10021,41,3,41974.61,5,119627.64
59,10021,76,3,23383.2,20,56119.68
60,10022,5,1,45012.76,0,45012.76
61,10023,59,4,26571.8,0,106287.2
62,10024,48,3,38106.61,0,114319.83
63,10025,49,4,6660.76,20,21314.43
64,10025,10,3,3211.83,0,9635.49
65,10025,6,4,42422.85,5,161206.83
66,10025,86,4,35245.82,5,133934.12
67,10025,35,1,4882.99,0,4882.99
68,10026,83,4,47524.82,0,190099.28
69,10027,12,1,69564.43,15,59129.77
70,10027,29,3,13582.79,0,40748.37
71,10027,58,3,45357.34,0,136072.02
72,10028,79,3,11150.26,20,26760.62
73,10028,80,4,11717.49,0,46869.96
74,10028,67,1,6901.24,0,6901.24
75,10028,72,2,10643.94,5,20223.49
76,10029,71,2,75439.67,0,150879.34
77,10029,71,2,75439.67,5,143335.37
78,10029,69,4,56948.59,0,227794.36
