order_id,customer_id,order_date,status,payment_mode,ship_city
10001,246,2023-11-18 05:25:00,Pending,DebitCard,Ahmedabad
10002,496,2024-08-12 07:20:00,Delivered,NetBanking,Pune
10003,59,2024-07-31 06:37:00,Pending,CreditCard,Jaipur
10004,14,2025-01-14 14:45:00,Delivered,DebitCard,Mumbai
10005,420,2025-05-18 13:43:00,Delivered,Wallet,Hyderabad
10006,124,2023-09-16 21:09:00,Shipped,NetBanking,Mumbai
10007,230,2024-09-04 15:37:00,Delivered,COD,Kolkata
10008,279,2023-02-07 11:44:00,Returned,COD,Lucknow
10009,327,2023-03-29 03:49:00,Delivered,Wallet,Pune
10010,86,2024-10-24 19:02:00,Delivered,Wallet,Kolkata
10011,496,2025-02-09 10:50:00,Delivered,UPI,Mumbai
10012,133,2023-08-16 16:47:00,Delivered,COD,Lucknow
10013,114,2024-04-01 11:25:00,Delivered,Wallet,Lucknow
10014,354,2024-05-27 04:22:00,Pending,NetBanking,Mumbai
10015,152,2024-03-01 02:07:00,Cancelled,Wallet,Delhi
10016,179,2023-11-16 10:29:00,Cancelled,COD,Ahmedabad
10017,179,2024-05-02 03:28:00,Shipped,NetBanking,Pune
10018,35,2023-11-04 01:51:00,Shipped,UPI,Pune
10019,332,2023-04-22 21:51:00,Delivered,Wallet,Chennai
10020,265,2023-06-28 17:10:00,Delivered,NetBanking,Ahmedabad
10021,119,2025-03-27 12:40:00,Delivered,Wallet,Kolkata
10022,203,2023-01-30 23:39:00,Returned,NetBanking,Lucknow
10023,220,2024-02-03 00:45:00,Delivered,DebitCard,Mumbai
10024,296,2023-04-15 17:11:00,Delivered,CreditCard,Ahmedabad
10025,59,2023-09-26 21:55:00,Delivered,Wallet,Pune
10026,306,2024-02-02 19:25:00,Delivered,DebitCard,Pune
10027,433,2024-04-13 19:11:00,Cancelled,Wallet,Hyderabad
10028,471,2024-09-21 18:05:00,Shipped,DebitCard,Mumbai
10029,123,2023-11-09 03:11:00,Delivered,CreditCard,Jaipur
10030,199,2024-03-04 19:08:00,Delivered,NetBanking,Delhi
10031,250,2024-10-12 17:44:00,Pending,CreditCard,Jaipur
10032,86,2024-05-16 09:08:00,Delivered,NetBanking,Lucknow
10033,28,2025-06-05 11:00:00,Delivered,CreditCard,Kolkata
10034,494,2024-07-29 16:41:00,Delivered,Wallet,Ahmedabad
10035,213,2024-12-28 14:31:00,Delivered,COD,Bengaluru
10036,408,2025-02-18 07:18:00,Delivered,CreditCard,Jaipur
10037,148,2023-06-22 14:36:00,Shipped,NetBanking,Jaipur
10038,262,2023-04-26 18:07:00,Delivered,COD,Pune
10039,278,2025-04-22 01:48:00,Shipped,COD,Chennai
10040,218,2023-04-15 23:53:00,Shipped,CreditCard,Hyderabad
10041,448,2023-02-03 14:16:00,Delivered,UPI,Ahmedabad
10042,444,2023-05-01 07:13:00,Cancelled,COD,Pune
10043,441,2024-12-28 19:40:00,Delivered,COD,Delhi
10044,402,2023-07-31 06:51:00,Delivered,DebitCard,Jaipur
10045,144,2024-09-03 17:10:00,Delivered,Wallet,Hyderabad
10046,149,2024-08-09 08:54:00,Delivered,Wallet,Mumbai
10047,70,2025-02-07 13:58:00,Delivered,DebitCard,Delhi
10048,360,2025-06-05 04:15:00,Delivered,DebitCard,Chennai
10049,390,2025-05-13 21:25:00,Delivered,COD,Hyderabad
10050,322,2024-02-29 12:28:00,Delivered,UPI,Kolkata
10051,264,2025-02-06 08:44:00,Pending,DebitCard,Ahmedabad
10052,487,2024-05-14 10:37:00,Delivered,Wallet,Mumbai
10053,375,2024-04-14 20:42:00,Shipped,UPI,Jaipur
10054,204,2023-08-12 13:52:00,Delivered,DebitCard,Pune
10055,425,2023-10-18 10:35:00,Delivered,COD,Ahmedabad
10056,404,2023-12-18 21:48:00,Delivered,UPI,Ahmedabad
10057,9,2023-05-08 05:28:00,Delivered,NetBanking,Chennai
10058,353,2023-05-16 20:19:00,Delivered,DebitCard,Mumbai
10059,336,2024-01-05 08:05:00,Delivered,Wallet,Delhi
10060,27,2024-02-10 20:19:00,Shipped,CreditCard,Kolkata
10061,336,2023-04-04 22:06:00,Delivered,NetBanking,Mumbai
10062,68,2024-08-30 07:33:00,Shipped,UPI,Bengaluru
10063,357,2023-12-18 03:55:00,Delivered,CreditCard,Ahmedabad
10064,37,2023-08-23 12:05:00,Shipped,UPI,Mumbai
10065,161,2024-01-12 09:08:00,Delivered,CreditCard,Delhi
10066,36,2024-06-27 18:00:00,Shipped,CreditCard,Ahmedabad
10067,180,2025-01-09 06:40:00,Shipped,NetBanking,Lucknow
10068,352,2024-03-29 06:05:00,Returned,CreditCard,Mumbai
10069,302,2025-01-17 12:22:00,Pending,DebitCard,Delhi
